model,run,method,max_order,base_threshold,decay_rate,min_taylor_steps,max_taylor_steps,sample_count,elapsed_seconds,images_per_second,speedup_vs_full,fid,delta_fid,sfid,delta_sfid,inception_score,delta_inception_score,precision,delta_precision,recall,delta_recall,aggregate_mse,psnr_from_aggregate_mse,mean_per_image_psnr,median_per_image_psnr,mean_ssim,median_ssim,mean_lpips,median_lpips,exact_pair_count,nan_psnr,nan_ssim,nan_lpips,inf_psnr,inf_ssim,inf_lpips
JiT,full,instrumented_full,4,0.3,0.05,3,8,1000,313.873706965,3.1859948055843677,1.0,38.98446008836555,,201.4650437238597,,261.01702880859375,,0.812,,0.8053,,,,,,,,,,,,,,,,
JiT,speca_ref,speca,4,0.3,0.05,3,8,1000,110.722714024,9.03157052114205,2.8347725191866724,38.78100505152145,-0.2034550368441046,200.7715212022273,-0.693522521632417,274.85699462890625,13.8399658203125,0.819,0.006999999999999895,0.8104,0.005099999999999993,0.0031038283474053734,25.08102304757918,26.998621741970524,26.63176254282594,0.9096696514189243,0.9298730790615082,0.13193003242695703,0.10719907283782959,0,0,0,0,0,0,0
JiT,order1,speca,1,0.3,0.05,3,8,1000,107.860085067,9.271270269987502,2.910007967915374,38.93972218415104,-0.0447379042145144,200.44296413711209,-1.0220795867476227,275.70733642578125,14.6903076171875,0.809,-0.0030000000000000027,0.8106,0.005299999999999971,0.00310527571883351,25.07899832572178,26.98665749363786,26.578470141721002,0.9084146555066108,0.9271778464317322,0.13603335169586353,0.1119970828294754,0,0,0,0,0,0,0
JiT,order2,speca,2,0.3,0.05,3,8,1000,115.054986417,8.691496397867068,2.7280321934714813,38.71237818513896,-0.2720819032265922,200.85597599220318,-0.6090677316565234,274.7113037109375,13.69427490234375,0.823,0.010999999999999899,0.8079,0.0025999999999999357,0.0031094723951302313,25.073132943564328,26.97563543701259,26.63857955308376,0.909644613057375,0.9299759566783905,0.1318318385486491,0.107406847178936,0,0,0,0,0,0,0
JiT,order3,speca,3,0.3,0.05,3,8,1000,116.137342457,8.610494943693508,2.7026079667804703,38.78342974046558,-0.2010303478999731,200.8323407506192,-0.6327029732404981,275.5755310058594,14.558502197265625,0.819,0.006999999999999895,0.8116,0.006299999999999972,0.0031039568884500745,25.08084319384939,26.997764321715987,26.643220942544858,0.909714049845934,0.9297006130218506,0.13187965333624743,0.10676201805472374,0,0,0,0,0,0,0
JiT,threshold0p1,speca,4,0.1,0.05,3,8,1000,122.531837839,8.161144218810659,2.5615685890340805,38.78100505152145,-0.2034550368441046,200.7715212022273,-0.693522521632417,274.85699462890625,13.8399658203125,0.819,0.006999999999999895,0.8104,0.005099999999999993,0.0031038283474053734,25.08102304757918,26.998621741970524,26.63176254282594,0.9096696514189243,0.9298730790615082,0.13193003242695703,0.10719907283782959,0,0,0,0,0,0,0
JiT,threshold0p2,speca,4,0.2,0.05,3,8,1000,123.854809506,8.07396986833649,2.5342068524984875,38.78100505152145,-0.2034550368441046,200.7715212022273,-0.693522521632417,274.85699462890625,13.8399658203125,0.819,0.006999999999999895,0.8104,0.005099999999999993,0.0031038283474053734,25.08102304757918,26.998621741970524,26.63176254282594,0.9096696514189243,0.9298730790615082,0.13193003242695703,0.10719907283782959,0,0,0,0,0,0,0
JiT,threshold0p4,speca,4,0.4,0.05,3,8,1000,124.743113004,8.016474624678752,2.516160607238777,38.78100505152145,-0.2034550368441046,200.7715212022273,-0.693522521632417,274.85699462890625,13.8399658203125,0.819,0.006999999999999895,0.8104,0.005099999999999993,0.0031038283474053734,25.08102304757918,26.998621741970524,26.63176254282594,0.9096696514189243,0.9298730790615082,0.13193003242695703,0.10719907283782959,0,0,0,0,0,0,0
JiT,decay0p01,speca,4,0.3,0.01,3,8,1000,121.457619629,8.23332453784755,2.5842240933401057,38.78100505152145,-0.2034550368441046,200.7715212022273,-0.693522521632417,274.85699462890625,13.8399658203125,0.819,0.006999999999999895,0.8104,0.005099999999999993,0.0031038283474053734,25.08102304757918,26.998621741970524,26.63176254282594,0.9096696514189243,0.9298730790615082,0.13193003242695703,0.10719907283782959,0,0,0,0,0,0,0
JiT,decay0p1,speca,4,0.3,0.1,3,8,1000,122.177573528,8.184808153607875,2.568996075970261,38.78100505152145,-0.2034550368441046,200.7715212022273,-0.693522521632417,274.85699462890625,13.8399658203125,0.819,0.006999999999999895,0.8104,0.005099999999999993,0.0031038283474053734,25.08102304757918,26.998621741970524,26.63176254282594,0.9096696514189243,0.9298730790615082,0.13193003242695703,0.10719907283782959,0,0,0,0,0,0,0
JiT,minstep2,speca,4,0.3,0.05,2,8,1000,142.934948159,6.996189615485822,2.195919969242573,38.72549777750521,-0.2589623108603405,199.59152807646478,-1.8735156473949246,277.1816101074219,16.164581298828125,0.817,0.004999999999999893,0.8114,0.006099999999999994,0.0031530238859315833,25.01272739214357,26.57415847782419,26.360518382498213,0.9073221578299999,0.9265162348747253,0.13165011089807377,0.10334175825119019,0,0,0,0,0,0,0
JiT,minstep4,speca,4,0.3,0.05,4,8,1000,113.404622872,8.81798267720269,2.767732910846763,39.045507566239394,0.061047477873842126,199.05361416700657,-2.411429556853136,280.7462158203125,19.72918701171875,0.816,0.0039999999999998925,0.8116,0.006299999999999972,0.0035931957102426186,24.4451912747566,26.024701987393353,25.636463737959097,0.8960530415177346,0.9128236770629883,0.1526414212146774,0.12878280878067017,0,0,0,0,0,0,0
JiT,maxstep5,speca,4,0.3,0.05,3,5,1000,122.050836209,8.193307240333846,2.5716637158267583,38.78100505152145,-0.2034550368441046,200.7715212022273,-0.693522521632417,274.85699462890625,13.8399658203125,0.819,0.006999999999999895,0.8104,0.005099999999999993,0.0031038283474053734,25.08102304757918,26.998621741970524,26.63176254282594,0.9096696514189243,0.9298730790615082,0.13193003242695703,0.10719907283782959,0,0,0,0,0,0,0
JiT,maxstep10,speca,4,0.3,0.05,3,10,1000,121.714963455,8.215916692689278,2.5787602284500064,38.78100505152145,-0.2034550368441046,200.7715212022273,-0.693522521632417,274.85699462890625,13.8399658203125,0.819,0.006999999999999895,0.8104,0.005099999999999993,0.0031038283474053734,25.08102304757918,26.998621741970524,26.63176254282594,0.9096696514189243,0.9298730790615082,0.13193003242695703,0.10719907283782959,0,0,0,0,0,0,0
PixelGen,full,instrumented_full,4,0.3,0.05,3,8,1000,1094.37500016,0.9137635635443042,1.0,38.45394374046498,,202.92721271995651,,279.8703308105469,,0.808,,0.825,,,,,,,,,,,,,,,,
PixelGen,speca_ref,speca,4,0.3,0.05,3,8,1000,398.48609665,2.5094978429782566,2.746331702310849,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,order1,speca,1,0.3,0.05,3,8,1000,347.47527486,2.877902608762325,3.1495046679247336,38.28286502517244,-0.1710787152925377,203.28998355050885,0.3627708305523356,286.4024963378906,6.53216552734375,0.808,0.0,0.8234,-0.0015999999999999348,0.004701925522325757,23.277242543048942,26.60089767736052,25.922352541930735,0.8783954625725746,0.908216655254364,0.16086138126952573,0.12409892678260803,0,0,0,0,0,0,0
PixelGen,order2,speca,2,0.3,0.05,3,8,1000,378.691582116,2.6406713199494414,2.8898846761921773,38.47897198260881,0.025028242143832813,203.721034625911,0.7938219059544736,288.4922180175781,8.62188720703125,0.807,-0.0010000000000000009,0.8258,0.0008000000000000229,0.004222414294189155,23.7443915689928,26.868712065411177,26.173884052842922,0.8821759612262249,0.9136014878749847,0.15486631655832753,0.11343027651309967,0,0,0,0,0,0,0
PixelGen,order3,speca,3,0.3,0.05,3,8,1000,401.056244138,2.4934158602849443,2.728731982498282,38.39819538169701,-0.05574835876797124,203.45690608116217,0.5296933612056591,288.3270568847656,8.45672607421875,0.812,0.0040000000000000036,0.8247,-0.00029999999999996696,0.00429737853036055,23.667963902289706,26.82556713041152,26.057863880983223,0.881569782614708,0.9117726385593414,0.15568474582582711,0.11583229899406433,0,0,0,0,0,0,0
PixelGen,threshold0p1,speca,4,0.1,0.05,3,8,1000,413.376649135,2.419101325855059,2.647404013869686,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,threshold0p2,speca,4,0.2,0.05,3,8,1000,412.003011948,2.4271667220874895,2.6562305818728427,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,threshold0p4,speca,4,0.4,0.05,3,8,1000,407.754262014,2.452457504823495,2.6839081822336053,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,decay0p01,speca,4,0.3,0.01,3,8,1000,412.155231313,2.4262703079475836,2.65524956864834,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,decay0p1,speca,4,0.3,0.1,3,8,1000,413.386534466,2.41904347777503,2.6473407063770953,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,minstep2,speca,4,0.3,0.05,2,8,1000,464.5597938,2.1525754345209545,2.3557247414982814,38.233385741747384,-0.22055799871759518,202.68165256369855,-0.2455601562579659,292.5202941894531,12.64996337890625,0.83,0.02199999999999991,0.8269,0.0019000000000000128,0.0040369692854427385,23.939445548288425,26.257106626348452,25.91756627009445,0.8789773551821709,0.9068985879421234,0.1579068973993417,0.11925918236374855,0,0,0,0,0,0,0
PixelGen,minstep4,speca,4,0.3,0.05,4,8,1000,379.487070255,2.635135893636746,2.8838268440203354,38.24379279863126,-0.2101509418337173,201.81807469210344,-1.1091380278530778,281.6171875,1.746856689453125,0.81,0.0020000000000000018,0.8226,-0.0023999999999999577,0.005407691198504833,22.669881163664243,25.18191435835356,24.648221368208098,0.8586871757209301,0.8821013867855072,0.18476904469775035,0.15385479480028152,0,0,0,0,0,0,0
PixelGen,maxstep5,speca,4,0.3,0.05,3,5,1000,416.860385178,2.3988846999049778,2.6252794438423313,38.40861271472659,-0.04533102573839187,203.31559782436238,0.38838510440587015,285.8259582519531,5.95562744140625,0.811,0.0030000000000000027,0.8248,-0.00019999999999997797,0.0043254960766707495,23.639640775619423,26.81291150663169,26.180588492356605,0.8814965293705463,0.9114741086959839,0.1560118068549782,0.11675630882382393,0,0,0,0,0,0,0
PixelGen,maxstep10,speca,4,0.3,0.05,3,10,1000,411.457498686,2.4303846768950024,2.6597522311658297,38.41811574816484,-0.035827992300141887,203.3254791927037,0.3982664727471956,286.23065185546875,6.360321044921875,0.812,0.0040000000000000036,0.8224,-0.0025999999999999357,0.004337812376859933,23.62729236428923,26.80552423589446,26.139311667213057,0.881259869068861,0.9113649725914001,0.15612738179136068,0.11675630882382393,0,0,0,0,0,0,0
