model,run,method,max_order,base_threshold,decay_rate,min_taylor_steps,max_taylor_steps,trajectory_count,total_nfe,full_nfe,taylor_nfe,full_ratio,taylor_ratio,network_forward_count,verified_taylor_nfe,unverified_taylor_nfe,verification_block_calls,verification_pass_count,verification_fail_count,verification_pass_rate,full_due_first_enhance,full_due_max_taylor,full_due_previous_error,mean_max_speculative_span,mean_max_forecast_horizon,mean_max_available_order,mean_cache_bytes,mean_cache_gib,mean_cache_tensor_count,mean_peak_memory_allocated,mean_peak_memory_reserved,verification_overhead_time_ms,verification_overhead_ratio_within_measured_components
JiT,full,instrumented_full,4,0.3,0.05,3,8,32,3168,3168,0,1.0,0.0,6336,0,0,0,0,0,0.0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,1410820224.0,1671561216.0,0.0,0.0
JiT,speca_ref,speca,4,0.3,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721818752.0,5426118656.0,24023.057713522576,0.6084500266359774
JiT,order1,speca,1,0.3,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,1.0,1277952000.0,1.190185546875,96.0,2801788032.0,3267362816.0,19479.873951990157,0.6892685997259729
JiT,order2,speca,2,0.3,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,2.0,1916928000.0,1.7852783203125,144.0,3441638048.0,3990945792.0,22246.936964569613,0.666709628739172
JiT,order3,speca,3,0.3,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,3.0,2555904000.0,2.38037109375,192.0,4081892480.0,4674551808.0,23783.196806558408,0.6403770618032338
JiT,threshold0p1,speca,4,0.1,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721591424.0,5426118656.0,26209.799830801785,0.6314177220668248
JiT,threshold0p2,speca,4,0.2,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721818752.0,5426118656.0,26413.526573218405,0.6297882561425672
JiT,threshold0p4,speca,4,0.4,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721818752.0,5426118656.0,26518.738449318334,0.6353531815300983
JiT,decay0p01,speca,4,0.3,0.01,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721591424.0,5426118656.0,26076.537668472156,0.6293920283493089
JiT,decay0p1,speca,4,0.3,0.1,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721591424.0,5426118656.0,25808.360058348626,0.6269708725990712
JiT,minstep2,speca,4,0.3,0.05,2,8,32,3168,832,2336,0.26262626262626265,0.7373737373737373,6336,768,1568,1536,0,768,0.0,64,0,768,3.0,3.0,4.0,3194880000.0,2.9754638671875,240.0,4721965248.0,5314183168.0,34409.19696027413,0.6835552362580758
JiT,minstep4,speca,4,0.3,0.05,4,8,32,3168,576,2592,0.18181818181818182,0.8181818181818182,6336,512,2080,1024,0,512,0.0,64,0,512,5.0,5.0,4.0,3194880000.0,2.9754638671875,240.0,4721443968.0,5314183168.0,21613.366176490672,0.5867494024287476
JiT,maxstep5,speca,4,0.3,0.05,3,5,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721591424.0,5426118656.0,26231.008644448593,0.6333200619487882
JiT,maxstep10,speca,4,0.3,0.05,3,10,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4722046080.0,5426118656.0,26198.47086898517,0.6292066643341433
PixelGen,full,instrumented_full,4,0.3,0.05,3,8,252,24948,24948,0,1.0,0.0,24948,0,0,0,0,0,0.0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,5968251270.095238,6236930048.0,0.0,0.0
PixelGen,speca_ref,speca,4,0.3,0.05,3,8,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,4.0,1427748571.4285715,1.3296944754464286,280.0,7480158305.523809,7898923008.0,70829.02121089865,0.32220810641174175
PixelGen,order1,speca,1,0.3,0.05,3,8,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,1.0,571099428.5714285,0.5318777901785714,112.0,6601129020.952381,6938427392.0,50180.34141231328,0.4084503363249364
PixelGen,order2,speca,2,0.3,0.05,3,8,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,2.0,856649142.8571428,0.7978166852678571,168.0,6889963515.936508,7275020288.0,59897.10171264596,0.33601115882835103
PixelGen,order3,speca,3,0.3,0.05,3,8,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,3.0,1142198857.142857,1.0637555803571428,224.0,7179547834.920635,7610331591.111111,67408.67903397884,0.3592899244057166
PixelGen,threshold0p1,speca,4,0.1,0.05,3,8,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,4.0,1427748571.4285715,1.3296944754464286,280.0,7478735678.984127,7898398720.0,72010.03412588034,0.3249837629337672
PixelGen,threshold0p2,speca,4,0.2,0.05,3,8,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,4.0,1427748571.4285715,1.3296944754464286,280.0,7479027590.095238,7897874432.0,71617.94823745731,0.3253253155079072
PixelGen,threshold0p4,speca,4,0.4,0.05,3,8,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,4.0,1427748571.4285715,1.3296944754464286,280.0,7480158305.523809,7898923008.0,71041.21783864684,0.3223002644862678
PixelGen,decay0p01,speca,4,0.3,0.01,3,8,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,4.0,1427748571.4285715,1.3296944754464286,280.0,7478735678.984127,7898398720.0,71995.66608422901,0.3238857602288546
PixelGen,decay0p1,speca,4,0.3,0.1,3,8,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,4.0,1427748571.4285715,1.3296944754464286,280.0,7479592947.809524,7898398720.0,72050.42104574386,0.32329043881176944
PixelGen,minstep2,speca,4,0.3,0.05,2,8,252,24948,6552,18396,0.26262626262626265,0.7373737373737373,24948,6048,12348,6048,0,6048,0.0,504,0,6048,3.0,3.0,4.0,1427748571.4285715,1.3296944754464286,280.0,7500233988.063492,7911289547.174603,93841.68690966908,0.3730549394610233
PixelGen,minstep4,speca,4,0.3,0.05,4,8,252,24948,4536,20412,0.18181818181818182,0.8181818181818182,24948,4032,16380,4032,0,4032,0.0,504,0,4032,5.0,5.0,4.0,1427748571.4285715,1.3296944754464286,280.0,7478411928.380953,7935040625.777778,60939.77510603145,0.2960343596511502
PixelGen,maxstep5,speca,4,0.3,0.05,3,5,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,4.0,1427748571.4285715,1.3296944754464286,280.0,7479301036.698413,7898923008.0,72753.34855285473,0.3253667059069625
PixelGen,maxstep10,speca,4,0.3,0.05,3,10,252,24948,5292,19656,0.21212121212121213,0.7878787878787878,24948,4788,14868,4788,0,4788,0.0,504,0,4788,4.0,4.0,4.0,1427748571.4285715,1.3296944754464286,280.0,7479027590.095238,7897874432.0,66921.87037540134,0.31145680564184036
